,speaker,session,mic,prompt_id,has_spect,spect_width,spect_height,prompt,url,filepath,googletranslate
1258,F03,Session2,wav_arrayMic,433,yes,38,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0433.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0433.wav,
1191,F03,Session2,wav_arrayMic,366,yes,29,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0366.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0366.wav,3
5186,M04,Session2,wav_headMic,252,yes,70,513,dot,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0252.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0252.wav,.
3781,M02,Session2,wav_headMic,212,yes,204,513,The job provides many benefits.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_headMic/0212.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_headMic/0212.wav,good job provide vision benefits
4155,M03,Session2,wav_headMic,184,yes,158,513,The train approached the depot slowly.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0184.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0184.wav,the train approached the depot slowly
5161,M04,Session2,wav_headMic,227,yes,98,513,side,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0227.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0227.wav,
3161,M01,Session2_3,wav_arrayMic,286,yes,47,513,brought,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0286.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0286.wav,
3135,M01,Session2_3,wav_arrayMic,260,yes,75,513,sitting,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0260.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0260.wav,
5714,M05,Session1,wav_arrayMic,58,yes,88,513,torn,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session1/wav_arrayMic/0058.wav,/home/jovyan/work/data/TORGO/M05/Session1/wav_arrayMic/0058.wav,cool
3003,M01,Session2_3,wav_arrayMic,128,yes,104,513,much,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0128.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0128.wav,
2888,M01,Session2_3,wav_arrayMic,12,yes,71,513,sip,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0012.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0012.wav,
5305,M04,Session2,wav_arrayMic,72,yes,66,513,floor,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0072.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0072.wav,
6088,M05,Session2,wav_headMic,303,yes,2,513,He took me out one day.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0303.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0303.wav,
1828,F04,Session1,wav_arrayMic,136,yes,43,513,troop,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session1/wav_arrayMic/0136.wav,/home/jovyan/work/data/TORGO/F04/Session1/wav_arrayMic/0136.wav,Troop
1353,F03,Session3,wav_headMic,84,yes,148,513,There was only one decision to be made.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0084.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0084.wav,there was only one decision to be made
5230,M04,Session2,wav_headMic,296,yes,100,513,vat,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0296.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0296.wav,bettnt
2208,F04,Session2,wav_arrayMic,68,yes,94,513,xxx,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0068.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0068.wav,fruit
4563,M03,Session2,wav_arrayMic,172,yes,75,513,near,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0172.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0172.wav,near
3633,M02,Session1,wav_arrayMic,231,yes,47,513,rock,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0231.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0231.wav,wrought
3301,M02,Session1,wav_headMic,139,yes,91,513,write,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0139.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0139.wav,right
793,F03,Session2,wav_headMic,119,yes,56,513,sigh,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_headMic/0119.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_headMic/0119.wav,thigh
3533,M02,Session1,wav_arrayMic,131,yes,61,513,sigh,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0131.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0131.wav,sorry
2145,F04,Session2,wav_arrayMic,4,yes,165,513,Will Robin wear a yellow lily? ,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0004.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0004.wav,Willow Robin wear a yellow Lily
4730,M03,Session2,wav_arrayMic,343,yes,85,513,seeds,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0343.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0343.wav,seeds
695,F03,Session2,wav_headMic,20,yes,209,513,The islands are sparsely populated.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_headMic/0020.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_headMic/0020.wav,the islands are sparsely populated
2228,F04,Session2,wav_arrayMic,88,yes,150,513,Swing your arm as high as you can.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0088.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0088.wav,swing your arms as high as you can
4180,M03,Session2,wav_headMic,209,yes,104,513,Just one side got wet.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0209.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0209.wav,just once I'd got wet
3675,M02,Session2,wav_headMic,106,yes,70,513,pretty,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_headMic/0106.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_headMic/0106.wav,Twitter cave
2567,M01,Session1,wav_arrayMic,77,yes,296,513,he slowly takes a short walk in the open air each day.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_arrayMic/0077.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_arrayMic/0077.wav,make a larger in the open their evening
1799,F04,Session1,wav_arrayMic,107,yes,80,513,stick,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session1/wav_arrayMic/0107.wav,/home/jovyan/work/data/TORGO/F04/Session1/wav_arrayMic/0107.wav,stick
5808,M05,Session2,wav_headMic,23,yes,83,513,rocks,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0023.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0023.wav,Rock
3934,M02,Session2,wav_arrayMic,200,yes,197,513,There is a treehouse up above.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_arrayMic/0200.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_arrayMic/0200.wav,there is a tree
5437,M04,Session2,wav_arrayMic,206,yes,172,513,I scrubbed the floors thoroughly.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0206.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0206.wav,
667,F03,Session1,wav_arrayMic,196,yes,71,513,They carried me off on the stretcher.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_arrayMic/0196.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_arrayMic/0196.wav,the carry me off on the stretcher
663,F03,Session1,wav_arrayMic,192,yes,33,513,knew,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_arrayMic/0192.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_arrayMic/0192.wav,
2619,M01,Session2_3,wav_headMic,29,yes,155,513,I was conscious all the time.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_headMic/0029.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_headMic/0029.wav,I would kind of all day today
6062,M05,Session2,wav_headMic,277,yes,111,513,spit,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0277.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0277.wav,fit
4284,M03,Session2,wav_headMic,313,yes,67,513,harp,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0313.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0313.wav,harp
2286,F04,Session2,wav_arrayMic,146,yes,104,513,at,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0146.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0146.wav,at
1679,F03,Session3,wav_arrayMic,200,yes,61,513,no,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0200.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0200.wav,no
428,F03,Session1,wav_headMic,161,yes,35,513,mut,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_headMic/0161.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_headMic/0161.wav,
5921,M05,Session2,wav_headMic,136,yes,72,513,loop,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0136.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0136.wav,you
4902,M04,Session1,wav_arrayMic,95,yes,80,513,rain,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session1/wav_arrayMic/0095.wav,/home/jovyan/work/data/TORGO/M04/Session1/wav_arrayMic/0095.wav,
1614,F03,Session3,wav_arrayMic,132,yes,61,513,meats,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0132.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0132.wav,
1894,F04,Session2,wav_headMic,3,yes,56,513,slay,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_headMic/0003.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_headMic/0003.wav,play
1275,F03,Session3,wav_headMic,6,yes,58,513,nice,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0006.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0006.wav,nice
3505,M02,Session1,wav_arrayMic,103,yes,132,513,I can read,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0103.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0103.wav,I didn't read
4472,M03,Session2,wav_arrayMic,82,yes,104,513,feet,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0082.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0082.wav,treat
2675,M01,Session2_3,wav_headMic,86,yes,140,513,Just one side got wet.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_headMic/0086.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_headMic/0086.wav,
3604,M02,Session1,wav_arrayMic,202,yes,52,513,rocks,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0202.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0202.wav,Roblox
3326,M02,Session1,wav_headMic,164,yes,77,513,dot,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0164.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0164.wav,God
3669,M02,Session2,wav_headMic,100,yes,96,513,mike,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_headMic/0100.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_headMic/0100.wav,
3475,M02,Session1,wav_arrayMic,73,yes,71,513,born,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0073.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0073.wav,Forint
468,F03,Session1,wav_headMic,201,yes,43,513,air,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_headMic/0201.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_headMic/0201.wav,are
3966,M02,Session2,wav_arrayMic,235,yes,282,513,The owners regularly look for plumbing leaks.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_arrayMic/0235.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_arrayMic/0235.wav,
2171,F04,Session2,wav_arrayMic,31,yes,85,513,delta,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0031.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0031.wav,Delta
760,F03,Session2,wav_headMic,85,yes,134,513,I expect we'll bounce back this week.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_headMic/0085.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_headMic/0085.wav,I expect we'll bounce back this week
2441,M01,Session1,wav_headMic,51,no,None,None,left,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_headMic/0051.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_headMic/0051.wav,
2421,M01,Session1,wav_headMic,31,no,None,None,dug,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_headMic/0031.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_headMic/0031.wav,guard
4438,M03,Session2,wav_arrayMic,47,yes,99,513,dark,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0047.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0047.wav,dark
3703,M02,Session2,wav_headMic,134,yes,547,513,It also provides for funds to clear slums and help colleges build dormitories.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_headMic/0134.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_headMic/0134.wav,adult Football League to clear lungs
1103,F03,Session2,wav_arrayMic,278,yes,38,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0278.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0278.wav,dress
20,F01,Session1,wav_headMic,21,yes,58,513,dug,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F01/Session1/wav_headMic/0021.wav,/home/jovyan/work/data/TORGO/F01/Session1/wav_headMic/0021.wav,GOG
4524,M03,Session2,wav_arrayMic,133,yes,99,513,fruit,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0133.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0133.wav,fruit
5449,M04,Session2,wav_arrayMic,218,yes,51,513,air,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0218.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0218.wav,
5912,M05,Session2,wav_headMic,127,yes,89,513,fear,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0127.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0127.wav,fear
