,speaker,session,mic,prompt_id,has_spect,spect_width,spect_height,prompt,url,filepath,awstranslate
1726,F04,Session1,wav_arrayMic,34,yes,169,513,Grandfather likes to be modern in his language.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session1/wav_arrayMic/0034.wav,/home/jovyan/work/data/TORGO/F04/Session1/wav_arrayMic/0034.wav,Grandfather likes to be modern in his language.
3656,M02,Session2,wav_headMic,87,yes,134,513,lip,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_headMic/0087.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_headMic/0087.wav,Boat. Yeah.
5597,M05,Session1,wav_headMic,70,yes,67,513,park,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session1/wav_headMic/0070.wav,/home/jovyan/work/data/TORGO/M05/Session1/wav_headMic/0070.wav,Pull.
1134,F03,Session2,wav_arrayMic,309,yes,43,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0309.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0309.wav,Best.
114,F01,Session1,wav_headMic,115,yes,66,513,feed,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F01/Session1/wav_headMic/0115.wav,/home/jovyan/work/data/TORGO/F01/Session1/wav_headMic/0115.wav,Weed.
2842,M01,Session2_3,wav_headMic,254,yes,140,513,Students watched as he got out.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_headMic/0254.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_headMic/0254.wav,Student. Ah.
2490,M01,Session1,wav_headMic,100,no,None,None,swarm,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_headMic/0100.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_headMic/0100.wav,You wore.
667,F03,Session1,wav_arrayMic,196,yes,71,513,They carried me off on the stretcher.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_arrayMic/0196.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_arrayMic/0196.wav,They carry me off on the stretcher.
580,F03,Session1,wav_arrayMic,109,yes,38,513,farm,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_arrayMic/0109.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_arrayMic/0109.wav,Front.
4862,M04,Session1,wav_arrayMic,54,yes,141,513,I can read,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session1/wav_arrayMic/0054.wav,/home/jovyan/work/data/TORGO/M04/Session1/wav_arrayMic/0054.wav,I.
3947,M02,Session2,wav_arrayMic,213,yes,282,513,The job provides many benefits.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_arrayMic/0213.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_arrayMic/0213.wav,No. Good drive.
1243,F03,Session2,wav_arrayMic,418,yes,33,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0418.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0418.wav,Bill.
5365,M04,Session2,wav_arrayMic,133,yes,236,513,They carried me off on the stretcher.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0133.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0133.wav,"They came me out. Ah, uh"
2861,M01,Session2_3,wav_headMic,273,yes,68,513,witty,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_headMic/0273.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_headMic/0273.wav,We'll be.
1107,F03,Session2,wav_arrayMic,282,yes,29,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0282.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0282.wav,No.
3487,M02,Session1,wav_arrayMic,85,yes,61,513,fee,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0085.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0085.wav,Fu.
4858,M04,Session1,wav_arrayMic,50,yes,71,513,swore,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session1/wav_arrayMic/0050.wav,/home/jovyan/work/data/TORGO/M04/Session1/wav_arrayMic/0050.wav,Who are you?
3879,M02,Session2,wav_arrayMic,144,yes,90,513,eight,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_arrayMic/0144.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_arrayMic/0144.wav,
4262,M03,Session2,wav_headMic,291,yes,77,513,yes,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0291.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0291.wav,Yes.
4637,M03,Session2,wav_arrayMic,247,yes,85,513,play,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0247.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0247.wav,Play.
789,F03,Session2,wav_headMic,114,yes,52,513,eight,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_headMic/0114.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_headMic/0114.wav,Great.
28,F01,Session1,wav_headMic,29,yes,50,513,beat,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F01/Session1/wav_headMic/0029.wav,/home/jovyan/work/data/TORGO/F01/Session1/wav_headMic/0029.wav,They?
718,F03,Session2,wav_headMic,43,yes,172,513,I tried to tell people in the community.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_headMic/0043.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_headMic/0043.wav,I tried to tell people in the community.
3279,M02,Session1,wav_headMic,117,yes,271,513,The quick brown fox jumps over the lazy dog.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0117.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0117.wav,The group from Forks turns over the Lady of the Dark.
314,F03,Session1,wav_headMic,47,yes,89,513,bug,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_headMic/0047.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_headMic/0047.wav,Bye.
5344,M04,Session2,wav_arrayMic,111,yes,82,513,pat,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0111.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0111.wav,But
1469,F03,Session3,wav_headMic,200,yes,42,513,no,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0200.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0200.wav,No.
4517,M03,Session2,wav_arrayMic,126,yes,94,513,pad,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0126.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0126.wav,Pad.
1323,F03,Session3,wav_headMic,54,yes,45,513,shoot,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0054.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0054.wav,You.
5313,M04,Session2,wav_arrayMic,80,yes,62,513,goat,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0080.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0080.wav,Good.
5551,M05,Session1,wav_headMic,24,yes,97,513,dagger,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session1/wav_headMic/0024.wav,/home/jovyan/work/data/TORGO/M05/Session1/wav_headMic/0024.wav,There you go.
2500,M01,Session1,wav_arrayMic,10,yes,127,513,raid,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_arrayMic/0010.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_arrayMic/0010.wav,Raid.
4461,M03,Session2,wav_arrayMic,70,yes,90,513,one,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0070.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0070.wav,One.
2035,F04,Session2,wav_headMic,144,yes,203,513,This is not a program of socialized medicine.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_headMic/0144.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_headMic/0144.wav,This is not a program of socialized medicine.
3557,M02,Session1,wav_arrayMic,155,yes,47,513,knot,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0155.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0155.wav,No.
1782,F04,Session1,wav_arrayMic,90,yes,61,513,rave,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session1/wav_arrayMic/0090.wav,/home/jovyan/work/data/TORGO/F04/Session1/wav_arrayMic/0090.wav,Brave.
2515,M01,Session1,wav_arrayMic,25,yes,90,513,knew,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_arrayMic/0025.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_arrayMic/0025.wav,No.
4268,M03,Session2,wav_headMic,297,yes,64,513,fat,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0297.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0297.wav,Fat.
3963,M02,Session2,wav_arrayMic,232,yes,286,513,A good attitude is unbeatable.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_arrayMic/0232.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_arrayMic/0232.wav,"Oh, I'm good. I got a good book."
1544,F03,Session3,wav_arrayMic,62,yes,52,513,cork,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0062.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0062.wav,Poor.
6022,M05,Session2,wav_headMic,237,yes,120,513,sigh,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0237.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0237.wav,I.
476,F03,Session1,wav_arrayMic,5,yes,52,513,beta,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_arrayMic/0005.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_arrayMic/0005.wav,Beta.
3089,M01,Session2_3,wav_arrayMic,214,yes,61,513,mike,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0214.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0214.wav,"Oh, my."
3446,M02,Session1,wav_arrayMic,44,yes,286,513,"he dresses himself in an ancient black frock coat, ",https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0044.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0044.wav,"Do it with Andi Engine, You are rock coat."
1222,F03,Session2,wav_arrayMic,397,yes,47,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0397.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0397.wav,So.
1027,F03,Session2,wav_arrayMic,199,yes,43,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0199.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0199.wav,Right?
1570,F03,Session3,wav_arrayMic,88,yes,71,513,lee,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0088.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0088.wav,Really?
3811,M02,Session2,wav_headMic,242,no,None,None,tread,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_headMic/0242.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_headMic/0242.wav,Yeah.
4865,M04,Session1,wav_arrayMic,57,yes,85,513,sticks,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session1/wav_arrayMic/0057.wav,/home/jovyan/work/data/TORGO/M04/Session1/wav_arrayMic/0057.wav,Good.
3478,M02,Session1,wav_arrayMic,76,yes,43,513,right,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0076.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0076.wav,Right?
4357,M03,Session2,wav_headMic,386,yes,67,513,start,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0386.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0386.wav,Start.
5729,M05,Session1,wav_arrayMic,73,yes,90,513,sip,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session1/wav_arrayMic/0073.wav,/home/jovyan/work/data/TORGO/M05/Session1/wav_arrayMic/0073.wav,Sit.
3269,M02,Session1,wav_headMic,107,yes,84,513,rage,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0107.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0107.wav,Right?
4644,M03,Session2,wav_arrayMic,254,yes,94,513,witty,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0254.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0254.wav,With he.
4210,M03,Session2,wav_headMic,239,yes,77,513,side,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0239.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0239.wav,Slide.
527,F03,Session1,wav_arrayMic,56,yes,33,513,stick,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_arrayMic/0056.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_arrayMic/0056.wav,Stuck.
4315,M03,Session2,wav_headMic,344,yes,208,513,It also provides for funds to clear slums and help colleges build dormitories.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0344.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0344.wav,It also provides for funds to clear slums and help colleges build dormitories.
5913,M05,Session2,wav_headMic,128,yes,356,513,Two other cases also were under advisement. ,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0128.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0128.wav,Tio Que is our or on DH and rides.
5676,M05,Session1,wav_arrayMic,19,yes,270,513,"A long, flowing beard clings to his chin, ",https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session1/wav_arrayMic/0019.wav,/home/jovyan/work/data/TORGO/M05/Session1/wav_arrayMic/0019.wav,"Wait, be killing."
2832,M01,Session2_3,wav_headMic,244,yes,56,513,leak,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_headMic/0244.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_headMic/0244.wav,Hey!
1239,F03,Session2,wav_arrayMic,414,yes,380,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0414.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0414.wav,"Um, there's a right move from Column B for one tray and just like camp food on the size of your engine level, I think in the bacon for cats."
2373,F04,Session2,wav_arrayMic,233,yes,108,513,lock,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0233.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0233.wav,Block.
1194,F03,Session2,wav_arrayMic,369,yes,24,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0369.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0369.wav,Rise.
2421,M01,Session1,wav_headMic,31,no,None,None,dug,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_headMic/0031.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_headMic/0031.wav,Good.
583,F03,Session1,wav_arrayMic,112,yes,66,513,left,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_arrayMic/0112.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_arrayMic/0112.wav,Look.
299,F03,Session1,wav_headMic,32,yes,90,513,fair,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_headMic/0032.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_headMic/0032.wav,Fair.
3533,M02,Session1,wav_arrayMic,131,yes,61,513,sigh,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0131.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0131.wav,Five.
4952,M04,Session2,wav_headMic,18,yes,86,513,go,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0018.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0018.wav,Go.
5211,M04,Session2,wav_headMic,277,yes,108,513,brawn,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0277.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0277.wav,Bob.
3105,M01,Session2_3,wav_arrayMic,230,yes,57,513,fat,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0230.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0230.wav,
5017,M04,Session2,wav_headMic,83,yes,454,513,"he dresses himself in an ancient black frock coat, ",https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0083.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0083.wav,He threatened and foot bug code.
3461,M02,Session1,wav_arrayMic,59,yes,57,513,beta,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0059.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0059.wav,Prada.
4777,M03,Session2,wav_arrayMic,390,yes,94,513,sit,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0390.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0390.wav,Sit.
604,F03,Session1,wav_arrayMic,133,yes,47,513,bad,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_arrayMic/0133.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_arrayMic/0133.wav,So.
4166,M03,Session2,wav_headMic,195,yes,101,513,lip,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0195.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0195.wav,Lip.
4782,M03,Session2,wav_arrayMic,395,yes,85,513,dress,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0395.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0395.wav,Dress.
3846,M02,Session2,wav_arrayMic,110,yes,85,513,lick,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_arrayMic/0110.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_arrayMic/0110.wav,There.
6002,M05,Session2,wav_headMic,217,yes,110,513,thorn,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0217.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0217.wav,So in.
731,F03,Session2,wav_headMic,56,yes,88,513,here,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_headMic/0056.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_headMic/0056.wav,Here.
1650,F03,Session3,wav_arrayMic,168,yes,66,513,see,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0168.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0168.wav,Sing.
1618,F03,Session3,wav_arrayMic,136,yes,136,513,Young people participate in athletic activities.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0136.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0136.wav,People participate in a bullock.
3428,M02,Session1,wav_arrayMic,26,yes,47,513,raid,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0026.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0026.wav,
6102,M05,Session2,wav_headMic,317,yes,83,513,bitter,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0317.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0317.wav,Big.
4218,M03,Session2,wav_headMic,247,yes,66,513,play,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0247.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0247.wav,Play.
52,F01,Session1,wav_headMic,53,yes,41,513,swarm,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F01/Session1/wav_headMic/0053.wav,/home/jovyan/work/data/TORGO/F01/Session1/wav_headMic/0053.wav,Form.
1836,F04,Session1,wav_arrayMic,144,yes,47,513,slip,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session1/wav_arrayMic/0144.wav,/home/jovyan/work/data/TORGO/F04/Session1/wav_arrayMic/0144.wav,Slip.
4110,M03,Session2,wav_headMic,139,yes,71,513,no,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0139.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0139.wav,No.
4429,M03,Session2,wav_arrayMic,38,yes,104,513,rate,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0038.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0038.wav,Rate.
2791,M01,Session2_3,wav_headMic,202,yes,229,513,This is a period of transition for me.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_headMic/0202.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_headMic/0202.wav,The berry a friend for me.
6044,M05,Session2,wav_headMic,259,yes,78,513,yes,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0259.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0259.wav,Yeah.
4000,M03,Session2,wav_headMic,29,yes,190,513,"Except in the winter when the ooze or snow or ice prevents,",https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0029.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0029.wav,"Except in the winter, when the use or snow or ice prevents."
462,F03,Session1,wav_headMic,195,yes,87,513,I was conscious all the time.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_headMic/0195.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_headMic/0195.wav,I was conscious all the time.
3161,M01,Session2_3,wav_arrayMic,286,yes,47,513,brought,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0286.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0286.wav,
2150,F04,Session2,wav_arrayMic,9,yes,169,513,He will allow a rare lily...rare lie[D[D[D[D[D[D[D[D[D[C[C[C[C[C[C[C[C[C[C[C,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0009.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0009.wav,He will have allow a rare lily rare life.
5329,M04,Session2,wav_arrayMic,96,yes,66,513,glow,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0096.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0096.wav,Lois.
1148,F03,Session2,wav_arrayMic,323,yes,29,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0323.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0323.wav,No.
1028,F03,Session2,wav_arrayMic,200,yes,47,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0200.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0200.wav,Brought.
